listing_id,id_customer,last_action_time,last_action,action_detail
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:36:50.089000,select step,informations
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:36:46.694000,create draft,gonne per donne
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:41.902000,select brand from results,finders keepers
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:41.779000,type in search field,finders keepers
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:35.691000,tap search field,
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:32.164000,select category,top
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:27.869000,expand menu,abbigliamento
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:25.954000,select universe,moda donna
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:23.829000,start deposit,
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:20:23.579000,tap add deposit,
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:42.744000,delete draft,
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:38.110000,select step,informations
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:36.534000,tap back button,
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:34.289000,select step,condition_price
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:26.637000,select step,description
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:20.822000,select library,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:17.367000,dismiss photo dialog,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:17.340000,select camera,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:16.374000,add photo,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:15.633000,start photos,
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:15.598000,select step,photos
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:42:13.269000,select step,seller
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:57.158000,dismiss example,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:55.928000,tap example,foto principal (foto de frente)
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:53.419000,select condition,sin usar
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:45.526000,create draft,bolsos de mano para mujer
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:43.601000,select brand from list,a bathing ape
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:42.299000,select category,bolsos de mano
18709671,13cb221ff0c06ba4347e7fc2538c45a67ba47450742978c085072420ac985bcf,2021-08-31 22:41:41.662000,expand menu,bolsos
