ID_BRAND,BRAND
649,Mary Katrantzou
650,Oscar De La Renta
651,PEDRO MIRALLES
652,Tibi
653,CHARLIE JOE
654,Des Petits Hauts
655,LES PETITES PARISIENNES
656,Victoria Casal
657,Rodolphe Menudier
658,Club Monaco
659,"Technomarine, Genève"
661,DINO ET LUCIA
662,JC DE CASTELBAJAC POUR LES 3 SUISSES
663,Jimmy Choo For H&M
664,Urban Outfitters
665,Vannina Vesperini
666,Il Bisonte
667,Madame A Paris
668,Shyde
670,Haider Ackermann
671,Stella Cadente
672,ARTHUR & FOX
673,GEORGES MORAND
674,Piaget
675,Fred
676,HECTOR ET LOLA
677,DELPHINE CHARLOTTE PARMENTIER
680,Pablo
681,Baume Et Mercier
682,Annabel Winship
684,Hartford
685,Borsalino
686,K Jacques
687,Oona L'Ourse
688,Gertrude Aux Sports D'Hiver
689,Delfina Delettrez
690,Oliver Peoples
691,Noro
692,Chopard
694,SILENCE&NOISE
695,Joe's
696,Rupert Sanderson
697,Frey Wille
698,Pomellato
700,Castaner
701,Georg Jensen
702,Jean Paul Gaultier
703,Stuart Weitzman
704,UGO ZALDI
705,Alexander Wang
706,Trussardi
707,Narciso Rodriguez
708,ICE WATCH
709,RAMOWEAR
710,Kurt Geiger
711,Baccarat
712,RICHARD RUIZ
714,USED
715,Jitrois
717,Dice Kayek
718,Circus & Co
719,HARRODS KNIGHTSBRIDGE
720,JANE AUGUST
721,Meltin Pot
722,1881 CERRUTI
723,PELLESSIMO
724,Mauboussin
725,Bvlgari
727,TOY WATCH
728,Messika
729,Rolex
730,YUFENGSHAWN
731,Pianegonda
732,Van Cleef & Arpels
733,Boucheron
734,Chie Mihara
735,French Connection
736,Valentine Gauthier
737,Azzaro
738,Diamee!
739,Bronzette
740,MARIE VAN HAECKE CREATION
741,Sultan
742,Montblanc
743,Zenith
745,Breitling
746,Apc Madras
747,Maurice Lacroix
748,Opening Ceremony
749,Alberta Ferretti
750,Vera Wang
751,Edun
752,Roseanna
753,Corpus Christi
754,Jeffrey Campbell
755,Surface To Air
756,Church's
757,Alexander McQueen For P
758,Twenty8Twelve by S.Miller
759,Filippa K
760,Adeline Affre
761,Jaeger-Lecoultre
762,April 77
763,Current Elliott
764,Jay Ahr
765,Stella McCartney For H&M
766,Lovemilla
767,Troizenfant
768,Maloup
769,Pom D'Api
770,Rue Du Mail
771,Tabitha Simmons
772,Walter Steiger
773,Jonathan Saunders
779,MORGAN
784,LULU CASTAGNETTE
785,QUICKSILVER
786,DDP
787,SUD EXPRESS
788,Soeur
789,Lucien Pellat Finet
790,Joie
791,Tomas Maier
792,E2
793,Matthew Williamson
794,Proenza Schouler
795,Cos
796,BURBERRY PRORSUM
797,Laurence Dolige
801,Vanessa Tugendhaft
802,Bass Weejun
803,Mark Mc Nairy
804,Masscob
806,Eple & Melk
807,Mike & Chris
808,De Beers
809,Golden Goose
810,Jo Gordon
811,Devastee
812,Mercy
813,Designers Remix
815,Yves Salomon
816,Alpha Beta
817,Thalite
818,Dolfie
819,House Of Harlow
820,Anniel
821,VESTIAIRECOLLECTIVE
822,Maison Fabre
823,Minimarket
824,Versace x H&M
